iter	RMSE
213	175.5651477
214	175.4737782
215	175.3052639
216	175.1235079
217	174.9417498
218	174.8067206
219	174.6911352
220	174.5529679
221	174.3514905
222	174.2273911
223	174.0838151
224	173.9919437
225	173.816525
226	173.6677396
227	173.5369192
228	173.3894448
229	173.2147214
230	173.0668878
231	172.9595529
232	172.8320711
233	172.6884303
234	172.571465
235	172.4046457
236	172.2670883
237	172.1229434
238	172.0635438
239	171.9555375
240	171.7404691
241	171.6201131
242	171.4677132
243	171.3545219
244	171.1744638
245	171.0413456
246	170.8911504
247	170.7611993
248	170.6407327
249	170.4654986
250	170.3503227
251	170.2027545
252	170.0676703
253	169.9281238
254	169.793497
255	169.7027414
256	169.6093574
257	169.4941457
258	169.4102563
259	169.3063523
260	169.182823
261	169.0344853
262	168.9175246
263	168.8238766
264	168.7121804
265	168.5466484
266	168.4320874
267	168.3225171
268	168.2156202
269	168.0197595
270	167.8722853
271	167.7596568
272	167.6044171
273	167.5033814
274	167.4037972
275	167.2898039
276	167.144316
277	166.9728888
278	166.8558089
279	166.7424453
280	166.6366323
281	166.5545315
282	166.4888982
283	166.3893598
284	166.2932883
285	166.2292561
286	166.1650472
287	166.0186291
288	165.8887526
289	165.7401186
290	165.5785848
291	165.4893867
292	165.3876997
293	165.2974262
294	165.209661
295	165.1077842
296	165.0271311
297	164.9542345
298	164.8378521
299	164.7092558
300	164.6178329
301	164.4943123
302	164.405792
303	164.3233599
304	164.2431957
305	164.1608734
306	164.0708202
307	163.9592716
308	163.8965392
309	163.8109406
310	163.7435998
311	163.6799238
312	163.5951757
313	163.4195284
314	163.3559537
315	163.2335025
316	163.1534697
317	163.0568311
318	162.9153845
319	162.8595402
320	162.749807
321	162.6917418
322	162.6207503
323	162.5409954
324	162.4846605
325	162.3566835
326	162.2721979
327	162.160727
328	162.07847
329	162.0047014
330	161.9049355
331	161.8068336
332	161.7518853
333	161.6844447
334	161.5612281
335	161.4580093
336	161.3626484
337	161.1704669
338	161.0806321
339	160.9516866
340	160.8989364
341	160.8337565
342	160.7562035
343	160.688055
344	160.6405834
345	160.571699
346	160.4813452
347	160.4160442
348	160.3269455
349	160.2758366
350	160.1646374
351	160.1019359
352	159.9732792
353	159.8515777
354	159.6583932
355	159.5776
356	159.4991305
357	159.4475904
358	159.2966242
359	159.21154
360	159.1219568
361	159.0282642
362	158.9504516
363	158.8757492
364	158.79816
365	158.7183635
366	158.6364645
367	158.4996881
368	158.4171518
369	158.3362266
370	158.1764823
371	158.0512318
372	157.9484578
373	157.816418
374	157.6822125
375	157.5904046
376	157.5114159
377	157.4359325
378	157.2904859
379	157.1951686
380	157.0964814
381	157.0239843
382	156.8854296
383	156.8150812
384	156.6883543
385	156.5799659
386	156.4584098
387	156.4013676
388	156.2993858
389	156.1652633
390	156.0464697
391	155.9598154
392	155.9157266
393	155.8727558
394	155.795878
395	155.6728831
396	155.6013355
397	155.4686239
398	155.3284922
399	155.2013858
400	155.0648744
401	154.9765753
402	154.8444925
403	154.7341972
404	154.6165641
405	154.5323149
406	154.4533422
407	154.377775
408	154.3017901
409	154.1105482
410	154.0490059
411	153.9506456
412	153.8233609
413	153.7370214
414	153.6575555
415	153.5523048
416	153.4317796
417	153.3695536
418	153.2463709
419	153.1604586
420	153.0929728
421	152.972624
422	152.9112035
423	152.801159
424	152.6994671
425	152.6238329
426	152.5038387
427	152.4315049
428	152.3380125
429	152.2837061
430	152.1836214
431	152.1163749
432	152.0478427
433	151.9704368
434	151.8489769
435	151.7685338
436	151.6900267
437	151.632142
438	151.4697663
439	151.3633816
440	151.2885035
441	151.1956414
442	151.1510404
443	151.0545919
444	150.8969293
445	150.712355
446	150.568367
447	150.4864107
448	150.4012256
449	150.3138302
450	150.1915475
451	150.0899293
452	150.035228
453	149.935653
454	149.7999508
455	149.7584048
456	149.6892977
457	149.6357396
458	149.4684964
459	149.4170803
460	149.3481904
461	149.2775053
462	149.198636
463	149.0864584
464	148.9830966
465	148.9080654
466	148.7324232
467	148.62429
468	148.491041
469	148.3155166
470	148.1585714
471	148.0880134
472	148.0003732
473	147.94769
474	147.8547911
475	147.7886217
476	147.7312053
477	147.6543055
478	147.5816212
479	147.5084891
480	147.4090853
481	147.2833874
482	147.1675071
483	147.129977
484	147.0702806
485	147.0103209
486	146.8853384
487	146.80984
488	146.7415834
489	146.6221344
490	146.5398853
491	146.4910225
492	146.4187142
493	146.2635861
494	146.2321919
495	146.1543132
496	146.0853996
497	146.0105102
498	145.9368404
499	145.8949208
500	145.8283611
501	145.6903974
502	145.6012255
503	145.5417009
504	145.4713675
505	145.3341321
506	145.2699899
507	145.1713708
508	145.1042849
509	145.0426474
510	144.9649539
511	144.9140551
512	144.8547082
513	144.7886107
514	144.7148135
515	144.6289709
516	144.5168841
517	144.4063446
518	144.3493239
519	144.2811384
520	144.2150366
521	144.1490736
522	144.0431923
523	143.9683048
524	143.896008
525	143.8248575
526	143.748444
527	143.6356083
528	143.5495679
529	143.4495748
530	143.4023071
531	143.2952626
532	143.2383413
533	143.1639883
534	143.1232197
535	143.0438932
536	142.9892822
537	142.8777281
538	142.8292205
539	142.7201307
540	142.6068255
541	142.4874623
542	142.429762
543	142.3501143
544	142.2528182
545	142.1902108
546	142.0758745
547	142.0419495
548	141.9593679
549	141.8493669
550	141.778556
551	141.7103638
552	141.6588597
553	141.5915724
554	141.5194672
555	141.4357975
556	141.3546105
557	141.257845
558	141.2016078
559	141.1540556
560	141.1227331
561	141.0356017
562	140.9788825
563	140.8934071
564	140.8127039
565	140.7077221
566	140.6442809
567	140.514628
568	140.3772959
569	140.3375554
570	140.2607171
571	140.2080738
572	140.1173489
573	140.0434016
574	139.9155289
575	139.7958097
576	139.7090447
577	139.6016246
578	139.5354983
579	139.4749182
580	139.294194
581	139.1517437
582	139.077174
583	139.0139571
584	138.9499246
585	138.8792468
586	138.7891471
587	138.724369
588	138.6355162
589	138.5792559
590	138.4850127
591	138.4143638
592	138.339425
593	138.2730583
594	138.1752954
595	138.0854903
596	138.0107877
597	137.8931576
598	137.8350592
599	137.6630849
600	137.6021985
601	137.5351123
602	137.4747287
603	137.364884
604	137.290661
605	137.1451601
606	137.0469254
607	136.924101
608	136.8721959
609	136.7999213
610	136.7403756
611	136.6779803
612	136.6095008
613	136.549274
614	136.5051904
615	136.4342836
616	136.3753666
617	136.3310374
618	136.2818185
619	136.2172519
620	136.1625143
621	136.0950187
622	135.9934369
623	135.8743127
624	135.8317719
625	135.7134963
626	135.6055473
627	135.5739701
628	135.5332019
629	135.4855277
630	135.4205441
631	135.3246869
632	135.2552439
633	135.1583597
634	135.059936
635	135.0149424
636	134.9264513
637	134.880448
638	134.8086761
639	134.7588784
640	134.6976081
641	134.6317526
642	134.5963045
643	134.5495305
644	134.4842509
645	134.398101
646	134.3242205
647	134.2584752
648	134.1881958
649	134.1043792
650	134.0427753
651	133.9547951
652	133.9110536
653	133.8201402
654	133.7273545
655	133.6481134
656	133.5584934
657	133.4988022
658	133.4488339
659	133.367095
660	133.3035149
661	133.191744
662	133.1294608
663	133.0713838
664	133.0141551
665	132.9634478
666	132.8900225
667	132.8263024
668	132.7338164
669	132.6458103
670	132.5813102
671	132.5211083
672	132.4506712
673	132.3884901
674	132.3644657
675	132.3310865
676	132.2505311
677	132.1938148
678	132.1106235
679	132.0485407
680	132.0052734
681	131.9206826
682	131.8684183
683	131.7977113
684	131.7373503
685	131.6507433
686	131.6113692
687	131.5638305
688	131.5030231
689	131.4051708
690	131.3702904
691	131.2778104
692	131.2119324
693	131.1192361
694	131.033742
695	131.0075797
696	130.9206784
697	130.8612287
698	130.7956051
699	130.6384817
700	130.6000852
701	130.5733914
702	130.4968549
703	130.4323445
704	130.391812
705	130.2494946
706	130.1675299
707	130.0663431
708	130.0327066
709	129.9853529
710	129.901512
711	129.8377759
712	129.7979832
713	129.7617518
714	129.7179838
715	129.6662676
716	129.6137237
717	129.573285
718	129.528127
719	129.4416643
720	129.3427908
721	129.287233
722	129.1991176
723	129.1079683
724	129.0654851
725	128.9981046
726	128.942065
727	128.8810958
728	128.8413602
729	128.8152099
730	128.7228645
731	128.6778419
732	128.6211397
733	128.5483843
734	128.4943538
735	128.4046855
736	128.2957856
737	128.215365
738	128.1456144
739	128.0545339
740	128.0035163
741	127.9635542
742	127.9419719
743	127.8643464
744	127.8345042
745	127.7587912
746	127.6955592
747	127.5953234
748	127.5414189
749	127.4619451
750	127.4158589
751	127.3484746
752	127.3011573
753	127.248821
754	127.1930185
755	127.1263174
756	127.0696186
757	127.0007865
758	126.9466569
759	126.8808295
760	126.8373657
761	126.7671248
762	126.7244634
763	126.6711967
764	126.6112751
765	126.5449157
766	126.4889188
767	126.4670195
768	126.3993442
769	126.3209301
770	126.258281
771	126.2085394
772	126.1834538
773	126.1282273
774	126.0531465
775	126.0001279
776	125.9011594
777	125.8442682
778	125.7829642
779	125.7002539
780	125.6380395
781	125.5854394
782	125.5022756
783	125.440044
784	125.3948799
785	125.3502087
786	125.2918437
787	125.2410765
788	125.1905916
789	125.1347685
790	125.0317588
791	124.9677597
792	124.9146422
793	124.8634023
794	124.7931012
795	124.7623421
796	124.6804714
797	124.6281786
798	124.5786255
799	124.4834765
800	124.4418926
801	124.3412486
802	124.3223883
803	124.2858622
804	124.2317471
805	124.1754633
806	124.1495896
807	124.1243868
808	124.0953278
809	124.0560804
810	124.0231402
811	123.9770008
812	123.9581844
813	123.8784072
814	123.7723055
815	123.7158891
816	123.6562612
817	123.6093848
818	123.5568621
819	123.5257708
820	123.4758999
821	123.4405896
822	123.3947403
823	123.3410186
824	123.2924189
825	123.236829
826	123.1820318
827	123.1331805
828	123.0476022
829	123.0322229
830	122.984765
831	122.9570392
832	122.868974
833	122.7953953
834	122.739032
835	122.6520879
836	122.601005
837	122.5534965
838	122.5111695
839	122.4656287
840	122.4328404
841	122.3915684
842	122.3073818
843	122.2593001
844	122.1945266
845	122.1587961
846	122.1216267
847	122.0743506
848	121.9921512
849	121.9402165
850	121.8884169
851	121.8425222
852	121.8083042
853	121.7628869
854	121.7128295
855	121.6398649
856	121.5440388
857	121.5112351
858	121.4611477
859	121.4273421
860	121.3657249
861	121.3207886
862	121.2897587
863	121.2397453
864	121.1793854
865	121.1237088
866	121.0790814
867	121.0267893
868	120.972585
869	120.9219217
870	120.8900208
871	120.777355
872	120.7372909
873	120.698388
874	120.6465349
875	120.560578
876	120.507298
877	120.4683575
878	120.4224994
879	120.3578267
880	120.3249631
881	120.2980863
882	120.2500255
883	120.1951405
884	120.1468838
885	120.0978528
886	120.0172027
887	119.9760994
888	119.9505589
889	119.9206393
890	119.8592702
891	119.7641911
892	119.681298
893	119.6470989
894	119.6066113
895	119.5363998
896	119.5146584
897	119.4310661
898	119.3498952
899	119.3043463
900	119.2495306
901	119.163232
902	119.1297625
903	119.0766937
904	119.0298184
905	118.953839
906	118.8793465
907	118.8602138
908	118.781943
909	118.7393544
910	118.6878637
911	118.6012448
912	118.5565686
913	118.5124529
914	118.4423841
915	118.3664665
916	118.3373924
917	118.2765114
918	118.1087127
919	118.0170599
920	117.9674119
921	117.9318471
922	117.8571878
923	117.7947689
924	117.7467292
925	117.6974382
926	117.6559591
927	117.6031148
928	117.5615927
929	117.4670401
930	117.4247824
931	117.3839172
932	117.3456683
933	117.3135643
934	117.2887083
935	117.2449463
936	117.1945634
937	117.1481068
938	117.1090009
939	117.0433666
940	116.9782298
941	116.9391727
942	116.8490842
943	116.8291476
944	116.7608406
945	116.723015
946	116.6766537
947	116.6353265
948	116.5881122
949	116.5109735
950	116.4623685
951	116.4127615
952	116.3413993
953	116.2972377
954	116.2621875
955	116.1890455
956	116.0992171
957	116.0179364
958	115.9993634
959	115.9274051
960	115.8565319
961	115.789024
962	115.7528119
963	115.6788101
964	115.6427523
965	115.6003763
966	115.5861795
967	115.539705
968	115.4513231
969	115.4013345
970	115.3609793
971	115.3238202
972	115.2821992
973	115.2430964
974	115.215068
975	115.1735991
976	115.1249188
977	115.0781496
978	115.0186378
979	114.9702678
980	114.9409131
981	114.872588
982	114.7988378
983	114.7250713
984	114.6758783
985	114.6323229
986	114.5528929
987	114.4970957
988	114.4140104
989	114.3738783
990	114.3361206
991	114.3022688
992	114.274263
993	114.2439444
994	114.2056868
995	114.1703463
996	114.1525147
997	114.0715469
998	114.0016592
999	113.9763622
